2.3663 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
9.6580 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
10.4130 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000280F1E2AE20>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000280F1E2ADC0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000280F1E2ABE0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000280F23E9D90>, multiSample=False, name='window1', numSamples=2, pos=(-1920, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.4130 	EXP 	window1: mouseVisible = True
10.4131 	EXP 	window1: backgroundImage = ''
10.4131 	EXP 	window1: backgroundFit = 'none'
10.4146 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.4146 	EXP 	window1: recordFrameIntervals = False
10.5779 	EXP 	window1: recordFrameIntervals = True
10.7619 	EXP 	Screen (0) actual frame rate measured at 59.89Hz
10.7619 	EXP 	window1: recordFrameIntervals = False
10.7620 	EXP 	window1: mouseVisible = False
12.9820 	EXP 	pilotv2: status = STARTED
12.9821 	EXP 	window1: mouseVisible = True
12.9917 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
12.9920 	EXP 	window1: mouseVisible = True
12.9921 	EXP 	window1: mouseVisible = True
12.9926 	EXP 	window1: mouseVisible = True
12.9930 	EXP 	window1: mouseVisible = True
13.0066 	EXP 	window1: mouseVisible = True
13.0067 	EXP 	window1: mouseVisible = True
13.0072 	EXP 	window1: mouseVisible = True
13.0076 	EXP 	window1: mouseVisible = True
13.0189 	EXP 	window1: mouseVisible = True
13.0192 	EXP 	window1: mouseVisible = True
13.0193 	EXP 	window1: mouseVisible = True
13.0197 	EXP 	window1: mouseVisible = True
13.0201 	EXP 	window1: mouseVisible = True
13.0311 	EXP 	window1: mouseVisible = True
13.0313 	EXP 	window1: mouseVisible = True
13.0317 	EXP 	window1: mouseVisible = True
13.0321 	EXP 	window1: mouseVisible = True
