InstructionsFilepath,Instructions2Filepath,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,instructions2_controller.thisRepN,instructions2_controller.thisTrialN,instructions2_controller.thisN,instructions2_controller.thisIndex,instruction2_slide_loop.thisRepN,instruction2_slide_loop.thisTrialN,instruction2_slide_loop.thisN,instruction2_slide_loop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,instruction2prep.started,instruction2prep.stopped,Instructions2.started,imageInstruct_2.started,buttonNext_2.started,buttonBack_2.started,Instructions2.stopped,buttonNext_2.numClicks,buttonNext_2.timesOn,buttonNext_2.timesOff,buttonBack_2.numClicks,buttonBack_2.timesOn,buttonBack_2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide1.png,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.22150879999389872,,0.006654900003923103,0.044476900016888976,0.0631238000059966,0.06363570000394247,0.07258810001076199,0.22150879999389872,0.22150879999389872,0.22150879999389872,1.49589950000518,1,[1.3162338999973144],[1.3162516000156756],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
instructions//slide2.png,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,1.6758967000059783,,,,1.5488921999931335,1.549391700013075,1.5568706000049133,1.6758967000059783,1.6758967000059783,1.6758967000059783,2.2111428000207525,1,[0.5527169999841135],[0.5527236000052653],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
instructions//slide3.png,,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,2.4546272000006866,,,,2.264070300007006,2.2645742000022437,2.2714893000083975,2.4546272000006866,2.4546272000006866,2.4546272000006866,3.1732055000029504,1,[0.7381685000145808],[0.7381825000047684],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
instructions//slide4.png,,0,0,0,0,3,0,3,0,0,0,0,0,,,,,,,,,3.42174829999567,,,,3.2285779000085313,3.2290524000127334,3.236079399997834,3.42174829999567,3.42174829999567,3.42174829999567,4.640488800010644,1,[1.236966799973743],[1.2369793999823742],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
instructions//slide5.png,,0,0,0,0,4,0,4,0,0,0,0,0,,,,,,,,,4.872471700015012,,,,4.712798099993961,4.7134042000107,4.720864200004144,4.872471700015012,4.872471700015012,4.872471700015012,5.562232199998107,1,[0.7071284999838099],[0.707135600008769],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0,2023-11-06_23h13.30.524,pilotv2,2023.2.3,60.02015477121431,2023-11-06 23h13.42.418097 +0100,
