2.3455 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
6.1827 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
6.9533 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017707B09040>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017707AF7FD0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017707AF7E80>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000177080D4FA0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9534 	EXP 	window1: mouseVisible = True
6.9534 	EXP 	window1: backgroundImage = ''
6.9534 	EXP 	window1: backgroundFit = 'none'
6.9551 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.9551 	EXP 	window1: recordFrameIntervals = False
7.1202 	EXP 	window1: recordFrameIntervals = True
7.3034 	EXP 	Screen (0) actual frame rate measured at 60.21Hz
7.3035 	EXP 	window1: recordFrameIntervals = False
7.3036 	EXP 	window1: mouseVisible = False
9.4250 	EXP 	pilotv2: status = STARTED
9.4254 	EXP 	window1: mouseVisible = True
9.4354 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
9.4357 	EXP 	window1: mouseVisible = True
9.4359 	EXP 	window1: mouseVisible = True
9.4363 	EXP 	window1: mouseVisible = True
9.4369 	EXP 	window1: mouseVisible = True
9.4502 	EXP 	window1: mouseVisible = True
9.4503 	EXP 	window1: mouseVisible = True
9.4508 	EXP 	window1: mouseVisible = True
9.4512 	EXP 	window1: mouseVisible = True
9.4626 	EXP 	window1: mouseVisible = True
9.4629 	EXP 	window1: mouseVisible = True
9.4630 	EXP 	window1: mouseVisible = True
9.4634 	EXP 	window1: mouseVisible = True
9.4638 	EXP 	window1: mouseVisible = True
9.4750 	EXP 	window1: mouseVisible = True
9.4751 	EXP 	window1: mouseVisible = True
9.4755 	EXP 	window1: mouseVisible = True
9.4759 	EXP 	window1: mouseVisible = True
9.4792 	EXP 	window1: mouseVisible = True
